source_id;job_title;company;location;job_url;salary_avg;salary_range_id;f_education_d3;f_education_s1;f_education_s2;f_ipk_required;f_min_gpa;f_major_it;f_major_engineering;f_major_business;f_academic_achievement;f_scholarship;f_transcript_required;f_certificate_required;f_english_required;f_computer_skill_required;f_portfolio_required;f_project_required;f_organization_required;f_leadership_required;f_student_cadre_proxy;f_event_committee;f_communication_required;f_teamwork_required;f_internship_required;f_fresh_graduate_allowed;f_work_experience_required;f_experience_years_min;job_family;region_group;salary_range_label
7082;INTERNSHIP ADMIN SALES (PAID);PT. Riaputra Metalindo;Sidoarjo;https://id.jobstreet.com/id/job/92421803?type=standard&ref=search-standalone&origin=cardTitle#sol=6b5947d186964dd43a9493bcc4836b5bf5f2460c;500000.0;0.0;0;0;0;0;0.0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;business;jawa timur;0 sampai < 1 juta
7085;HR Staff paid Internship;Sawah Tamanan Villa & Resort;Kabupaten Bantul;https://id.jobstreet.com/id/job/92146269?type=standard&ref=search-standalone&origin=cardTitle#sol=fec87e244fc3a320c79a0b4390dff4e353180c13;625000.0;0.0;0;0;0;0;0.0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;administration;lainnya;0 sampai < 1 juta
7098;Female IT (Intern);Wzone Gym Studio;Yogyakarta;https://id.jobstreet.com/id/job/92414151?type=standard&ref=search-standalone&origin=cardTitle#sol=80eeaa411ae22aee7d97be3f77fdb044bfcdc668;600000.0;0.0;0;0;0;0;0.0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;software;jawa tengah diy;0 sampai < 1 juta
7107;[Internship] QA/Tester;PT Timedoor Indonesia;Denpasar;https://id.jobstreet.com/id/job/92257810?type=standard&ref=search-standalone&origin=cardTitle#sol=5497c6c10f3c507405228f0e90347357f34a5ac1;500000.0;0.0;0;0;0;0;0.0;1;0;1;0;0;0;1;0;0;0;1;0;1;0;0;1;0;1;0;0;0;software;lainnya;0 sampai < 1 juta
7112;Internship;Jogja Digital Academy;Kabupaten Bantul;https://id.jobstreet.com/id/job/92152180?type=standard&ref=search-standalone&origin=cardTitle#sol=4a806e61e23254d747c154b8bc499ec1158a9620;900000.0;0.0;0;0;0;0;0.0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;1;0;business;lainnya;0 sampai < 1 juta
7116;Public Health Educator (CS Advisor) Intern;PT COSMELOKA BERJAYA SENTOSA;Sleman;https://id.jobstreet.com/id/job/92306600?type=standard&ref=search-standalone&origin=cardTitle#sol=c7ba5fe806a952d1bd8148c2063d8c64f781a9d7;625000.0;0.0;0;0;0;0;0.0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;business;lainnya;0 sampai < 1 juta
7126;KOL Affiliate Acquisition (Freelance);PT. Upscale Digital Indonesia (Upscale House Project);Bandung;https://id.jobstreet.com/id/job/92332775?type=standard&ref=search-standalone&origin=cardTitle#sol=5ce0b76640461ad3f5a37ae91976d196577e4985;900000.0;0.0;0;0;0;0;0.0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;1;2;other;jawa barat;0 sampai < 1 juta
7136;Affiliate Specialist (On Site Freelance);PT Ramajaya Inovasi Indonesia;Tulungagung;https://id.jobstreet.com/id/job/92219571?type=standard&ref=search-standalone&origin=cardTitle#sol=ed5b251c9d672adb68eab8c19a21348189e3270f;900000.0;0.0;0;0;0;0;0.0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;business;lainnya;0 sampai < 1 juta
7141;TEAM RECRUITMENT (MAGANG);Pengiklan Anonim;Jakarta Selatan;https://id.jobstreet.com/id/job/92243990?type=standard&ref=search-standalone&origin=cardTitle#sol=8132386d969f92e1bcde148c0e091177f11f4ae6;900000.0;0.0;0;0;0;0;0.0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;other;jabodetabek;0 sampai < 1 juta
7151;Marketing intern;PT HAMASA INOVASI TEKNOLOGI;Bantul;https://id.jobstreet.com/id/job/92040736?type=standard&ref=search-standalone&origin=cardTitle#sol=2a6913ce2d44c2467bd068ccbb7108e06ffceeb2;625000.0;0.0;0;1;0;0;0.0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;1;0;0;business;lainnya;0 sampai < 1 juta
7193;Human Resources Intern;PT Cerdas Digital Nusantara;DI Yogyakarta;https://id.jobstreet.com/id/job/92086444?type=standard&ref=search-standalone&origin=cardTitle#sol=e8ca8fd5bec5faf429fa2566968c7a7870376c08;950000.0;0.0;0;0;0;0;0.0;1;0;1;0;0;0;0;1;1;0;1;0;0;0;1;1;0;1;0;1;0;administration;jawa tengah diy;0 sampai < 1 juta
7203;Telesales Intern;PT Sanpota Batara Indonesia;Yogyakarta;https://id.jobstreet.com/id/job/91974906?type=standard&ref=search-standalone&origin=cardTitle#sol=1c07860159a7bdfb3f1ec84fe550ad609f80bc17;900000.0;0.0;0;0;0;0;0.0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;1;0;business;jawa tengah diy;0 sampai < 1 juta
7206;Data Entry Internship;CV Unitech Indonesia;Malang;https://id.jobstreet.com/id/job/91962961?type=standard&ref=search-standalone&origin=cardTitle#sol=3d6233136f098d4ec408f1d951f4a5c154a5b5f5;850000.0;0.0;0;0;0;0;0.0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;administration;jawa timur;0 sampai < 1 juta
7209;Human Resources Intern;PT Cerdas Digital Nusantara;Tangerang;https://id.jobstreet.com/id/job/91975969?type=standard&ref=search-standalone&origin=cardTitle#sol=d1d4179ec052e30f6ccaa6fcf022361a98343309;950000.0;0.0;0;0;0;0;0.0;1;0;1;0;0;0;0;1;1;0;1;0;0;0;1;1;0;1;1;1;0;administration;jabodetabek;0 sampai < 1 juta
7210;Partnership Intern;Yayasan Siaga Peduli;Cilacap;https://id.jobstreet.com/id/job/91943796?type=standard&ref=search-standalone&origin=cardTitle#sol=61872dbe3a11d2f0924072f8481f95a9deb9de2e;800000.0;0.0;0;0;0;0;0.0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;business;lainnya;0 sampai < 1 juta
7213;Brand Activation Internship;MOMIASI OFFICIAL;Arcamanik;https://id.jobstreet.com/id/job/91964772?type=standard&ref=search-standalone&origin=cardTitle#sol=89088d3c6b9e3508bf331bdb8ec77cc8fd8c95a7;833333.0;0.0;0;1;0;0;0.0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;other;lainnya;0 sampai < 1 juta
7217;Creative Design (Intern);PT Tiara agung Pratama;Bogor;https://id.jobstreet.com/id/job/91946371?type=standard&ref=search-standalone&origin=cardTitle#sol=e2f4319c254f26ccd68d9ce379b1d58e03b80b94;500000.0;0.0;0;0;0;0;0.0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;business;jabodetabek;0 sampai < 1 juta
7235;(INTERN / MAGANG STAFF ) Account Payable;PT Oriental Logistics Indonesia;Jakarta Utara;https://id.jobstreet.com/id/job/91878950?type=standard&ref=search-standalone&origin=cardTitle#sol=765f335bdd5507484d07038c03a0915bcbe17c2c;900000.0;0.0;0;1;0;0;0.0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;finance;jabodetabek;0 sampai < 1 juta
7246;Fresh Graduate Management Training Program (Onsite);Deliveree (PT Angkut Teknologi Indonesia);Jakarta Raya;https://id.jobstreet.com/id/job/91894862?type=standard&ref=search-standalone&origin=cardTitle#sol=7c35b97934f579c341fb7c05669b21feb72f1cde;944497.0;0.0;0;1;1;1;3.0;1;0;1;0;0;1;0;1;1;0;0;1;0;0;0;1;0;0;1;0;0;business;jabodetabek;0 sampai < 1 juta
7280;Sales Promotion;The Barkery Bali;Denpasar Utara;https://id.jobstreet.com/id/job/92363607?type=standard&ref=search-standalone&origin=cardTitle#sol=b66a3f6d88cc90299e9348abbaeca77e8f10cf4c;900000.0;0.0;0;0;0;0;0.0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;business;lainnya;0 sampai < 1 juta
7315;Female IT (Intern);Wzone Gym Studio;Yogyakarta;https://id.jobstreet.com/id/job/92414151?type=standard&ref=search-standalone&origin=cardTitle#sol=5189f738c396acf33598e6e3a5dad3521e391a02;600000.0;0.0;0;0;0;0;0.0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;software;jawa tengah diy;0 sampai < 1 juta
