source_id,job_title,company,location,job_url,salary_avg,salary_range_id,f_education_d3,f_education_s1,f_education_s2,f_ipk_required,f_min_gpa,f_major_it,f_major_engineering,f_major_business,f_academic_achievement,f_scholarship,f_transcript_required,f_certificate_required,f_english_required,f_computer_skill_required,f_portfolio_required,f_project_required,f_organization_required,f_leadership_required,f_student_cadre_proxy,f_event_committee,f_communication_required,f_teamwork_required,f_internship_required,f_fresh_graduate_allowed,f_work_experience_required,f_experience_years_min,job_family,region_group,salary_range_label
162,Junior Quality Assurance,PT. Sinergi Innovate Pratama,Jakarta Selatan,https://id.jobstreet.com/id/job/92039826?type=standard&ref=search-standalone&origin=cardTitle#sol=c134601baae903dea11ccb5fcfd7e3663d143587,5750000.0,3.0,1,1,0,0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,data,jabodetabek,4 sampai < 6 juta
171,Admin Executive,Pengiklan Anonim,Batam,https://id.jobstreet.com/id/job/91796044?type=standard&ref=search-standalone&origin=cardTitle#sol=7a6e8bba2201eefda3373524f669b7ffd561533d,5250000.0,3.0,0,0,1,0,0.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,business,sumatera,4 sampai < 6 juta
178,Junior Property Consultant (Sales & Leasing),PT CBR Properti Indonesia,Jakarta Selatan,https://id.jobstreet.com/id/job/91968385?type=standard&ref=search-standalone&origin=cardTitle#sol=4bd668aa377bedf233619c445bcb1bbed1d9fa70,6750000.0,4.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,business,jabodetabek,6 sampai < 8 juta
197,Junior Software Engineer,PT Kuantum Solusi Teknologi,Bogor,https://id.jobstreet.com/id/job/92276199?type=standard&ref=search-standalone&origin=cardTitle#sol=a52a4874c570f7c4824518014a9f8f64cca7810b,7000000.0,4.0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,software,jabodetabek,6 sampai < 8 juta
199,Junior Valuation Analyst,KJPP Ruky Safrudin & Rekan,Jakarta Raya,https://id.jobstreet.com/id/job/91968968?type=standard&ref=search-standalone&origin=cardTitle#sol=6680791d9ccd8642770482f4f00829c1b8c04dc0,7250000.0,4.0,0,1,0,0,0.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,finance,jabodetabek,6 sampai < 8 juta
200,Mathematics Tutor,Emmerich Education Center,Jakarta Utara,https://id.jobstreet.com/id/job/92251412?type=standard&ref=search-standalone&origin=cardTitle#sol=64eba5765ad8a5915ce72fd870f6a33775fef576,6500000.0,4.0,0,1,0,0,0.0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,engineering,jabodetabek,6 sampai < 8 juta
205,Data Analyst,Brilliant Think Center,Ciputat Timur,https://id.jobstreet.com/id/job/92203280?type=standard&ref=search-standalone&origin=cardTitle#sol=452f55df012a3b63117bab270d75801d9ffcc5e0,7750000.0,4.0,0,1,0,0,0.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,data,lainnya,6 sampai < 8 juta
210,Business Development (Fresh Graduate),PT PMA Bluemedia Indonesia,Jakarta Selatan,https://id.jobstreet.com/id/job/92233730?type=standard&ref=search-standalone&origin=cardTitle#sol=faa85c3cf03487b3afa0e3c01f74be576827eb91,7250000.0,4.0,0,0,0,0,0.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,business,jabodetabek,6 sampai < 8 juta
213,Data Analyst,PT Microvac Indonesia,Jakarta Timur,https://id.jobstreet.com/id/job/92261319?type=standard&ref=search-standalone&origin=cardTitle#sol=d973e525eafcbad3ffe49eab10897a0f290e056f,8750000.0,5.0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,data,jabodetabek,8 sampai < 10 juta
217,"Data Engineer (Analyst, ETL, DBA)",PT Insura Media Solusi (Jakarta),Jakarta Raya,https://id.jobstreet.com/id/job/92308452?type=standard&ref=search-standalone&origin=cardTitle#sol=c9312abb0b140b6332d08aba8fb9d11440b5a79b,10000000.0,6.0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,data,jabodetabek,>= 10 juta
220,Data Analyst,PT Bersaudara Inti Corpora,Jakarta Barat,https://id.jobstreet.com/id/job/92028378?type=standard&ref=search-standalone&origin=cardTitle#sol=37fcd6ef41118b2826917843988ac11f7d0e92e6,11500000.0,6.0,0,0,0,0,0.0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,data,jabodetabek,>= 10 juta
223,"Interns (Data Analyst Intern, Digital Media Intern, IT Intern)",PT Himalaya Wellness Indonesia,Kelapa Gading,https://id.jobstreet.com/id/job/92103621?type=standard&ref=search-standalone&origin=cardTitle#sol=a2bf3ab65b763ed60b543aa7d439ba69dfd80348,2575000.0,2.0,0,0,0,0,0.0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,data,lainnya,2 sampai < 4 juta
224,IT Product Associate,PT Netcom Scinergy Newsantara,Bekasi,https://id.jobstreet.com/id/job/91993714?type=standard&ref=search-standalone&origin=cardTitle#sol=87cce6904bd4fea1aabc63a8be0dbfa3731a525c,12500000.0,6.0,0,1,0,0,0.0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,software,jabodetabek,>= 10 juta
227,Tele Account Management (Fresh Graduate are welcome to apply),PT Adecco Personnel Indonesia,Yogyakarta,https://id.jobstreet.com/id/job/92196600?type=standard&ref=search-standalone&origin=cardTitle#sol=abafb11370101596b3de0c7e4fb04c68418357bd,2900000.0,2.0,1,1,0,1,2.75,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,business,jawa tengah diy,2 sampai < 4 juta
235,Data Analyst,PT Nusantara Sakti Group (JAKARTA),Jakarta Barat,https://id.jobstreet.com/id/job/91783675?type=standard&ref=search-standalone&origin=cardTitle#sol=c5075c112ba3a73ce65aa68cfedfcf926402072c,8500000.0,5.0,0,1,0,0,0.0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,data,jabodetabek,8 sampai < 10 juta
245,Electrical Engineer / Service Engineer - Mechatronics,PT Xefco Technologies Indonesia,Majalengka,https://id.jobstreet.com/id/job/92009412?type=standard&ref=search-standalone&origin=cardTitle#sol=f0e16b81be40aedeab412d90a77a0b5ef9dda74d,12500000.0,6.0,0,0,0,0,0.0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,engineering,lainnya,>= 10 juta
246,Junior Analyst,PT ACE INDEX IDN,Jakarta Selatan,https://id.jobstreet.com/id/job/92009646?type=standard&ref=search-standalone&origin=cardTitle#sol=29d65d084f2bae1c1b5cdab400dff2c899a45f4e,11250000.0,6.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,other,jabodetabek,>= 10 juta
248,Data Entry,PT Daya Karsa Abadi,Jakarta Raya,https://id.jobstreet.com/id/job/91992489?type=standard&ref=search-standalone&origin=cardTitle#sol=8a9dd0dbe0cd039583f34f4de4c12f57c6caa39f,5364938.0,3.0,1,1,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,finance,jabodetabek,4 sampai < 6 juta
252,Software Engineer Internship,OPPO Indonesia,Tangerang,https://id.jobstreet.com/id/job/91761487?type=standard&ref=search-standalone&origin=cardTitle#sol=d45214c37fad761d6d97fe469c0ac150debb2554,3000000.0,2.0,0,0,0,0,0.0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,data,jabodetabek,2 sampai < 4 juta
