source_id,source_keyword,scraped_at,job_title,company,location,job_url,salary_text,salary_min,salary_max,salary_avg,salary_range_id,salary_range_label,salary_available,f_education_d3,f_education_s1,f_education_s2,f_ipk_required,f_min_gpa,f_major_it,f_major_engineering,f_major_business,f_academic_achievement,f_scholarship,f_transcript_required,f_certificate_required,f_english_required,f_computer_skill_required,f_portfolio_required,f_project_required,f_organization_required,f_leadership_required,f_student_cadre_proxy,f_event_committee,f_communication_required,f_teamwork_required,f_internship_required,f_fresh_graduate_allowed,f_work_experience_required,f_experience_years_min,job_family,region_group
1,magang berbayar,2026-06-03 17:43:08,Desk Collection Officer - Fresh Graduate Welcome,PT Mitra Koleksi Mandiri,Bekasi,https://id.jobstreet.com/id/job/92092607?type=standard&ref=search-standalone&origin=cardTitle#sol=fff8e5cf173cf3cbb3a37187c2494ae0f27b7b80,Rp 3.250.000 per month,3250000,3250000,3250000,2,2 sampai < 4 juta,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,other,jabodetabek
2,magang berbayar,2026-06-03 17:43:13,"Kepala Bagian Operasional, Account Officer, Kepala Bagian Kredit, Audit Intern",PT BPR Dana Mitra Indonesia,Jakarta Timur,https://id.jobstreet.com/id/job/92055334?type=standard&ref=search-standalone&origin=cardTitle#sol=3825c1a54696414fa6b567810c6e4cb3bccdbf87,Rp 5.600.000 – Rp 8.400.000 per month,5600000,8400000,7000000,4,6 sampai < 8 juta,1,0,1,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,finance,jabodetabek
3,magang berbayar,2026-06-03 17:43:43,Staff Administratif,STAR CHICKEN,Tenggilis Mejoyo,https://id.jobstreet.com/id/job/92071014?type=standard&ref=search-standalone&origin=cardTitle#sol=d7892695ff9205744de846ba34ceec82711c90d1,Rp 3.000.000 – Rp 4.500.000 per month,3000000,4500000,3750000,2,2 sampai < 4 juta,1,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,finance,lainnya
4,magang berbayar,2026-06-03 17:43:52,Internship for Administration Staff (Jabodetabek),PT Inamas Sumber Makmur,Jakarta Utara,https://id.jobstreet.com/id/job/92039682?type=standard&ref=search-standalone&origin=cardTitle#sol=5460e4f043a15a474d8c0b1c76a6424504967628,Rp 2.000.000 – Rp 3.000.000 per month,2000000,3000000,2500000,2,2 sampai < 4 juta,1,0,0,0,1,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,administration,jabodetabek
5,magang berbayar,2026-06-03 17:43:56,INTERNSHIP/MAGANG,PT Sukses Mekar Abadi,Surabaya,https://id.jobstreet.com/id/job/92403933?type=standard&ref=search-standalone&origin=cardTitle#sol=d07d82ba782daf653f5be6069aeca45eaac34e58,Rp 3.000.000 per month,3000000,3000000,3000000,2,2 sampai < 4 juta,1,1,1,0,0,0.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,administration,jawa timur
6,magang berbayar,2026-06-03 17:44:00,Tele Account Management (Fresh Graduate are welcome to apply),PT Adecco Personnel Indonesia,Yogyakarta,https://id.jobstreet.com/id/job/92196600?type=standard&ref=search-standalone&origin=cardTitle#sol=9f85267d08dd89b315040831e0aec98b5089f363,Rp 2.900.000 per month,2900000,2900000,2900000,2,2 sampai < 4 juta,1,1,1,0,1,2.75,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,business,jawa tengah diy
7,magang berbayar,2026-06-03 17:44:10,Warehouse Internship,PT Nabel Sakha Gemilang,Bekasi,https://id.jobstreet.com/id/job/92228304?type=standard&ref=search-standalone&origin=cardTitle#sol=d3856eca08bf07e0cbb08761fe6871c4337afad6,Rp 2.000.000 – Rp 3.000.000 per month,2000000,3000000,2500000,2,2 sampai < 4 juta,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,administration,jabodetabek
8,magang berbayar,2026-06-03 17:44:37,Staff Accounting,PT Indo Bahagia Sejahtera,Jakarta Utara,https://id.jobstreet.com/id/job/91953526?type=standard&ref=search-standalone&origin=cardTitle#sol=c180d301c7fd771c12ec68e62643c3e3f7c61949,Rp 5.500.000 – Rp 6.800.000 per month,5500000,6800000,6150000,4,6 sampai < 8 juta,1,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,software,jabodetabek
9,magang berbayar,2026-06-03 17:45:01,Internship at PT ABM Investama,PT ABM Investama,Jakarta Selatan,https://id.jobstreet.com/id/job/92334404?type=standard&ref=search-standalone&origin=cardTitle#sol=c8656d29254527d521417c8ee4469fe199bcdb0e,Rp 1.500.000 – Rp 2.000.000 per month,1500000,2000000,1750000,1,1 sampai < 2 juta,1,0,1,0,0,0.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,data,jabodetabek
10,magang berbayar,2026-06-03 17:45:11,Field Collection (Pekanbaru),PT Dipo Star Finance,Pekanbaru,https://id.jobstreet.com/id/job/92413253?type=standard&ref=search-standalone&origin=cardTitle#sol=3eaa832de13e6ab055abc4a73ff72f958a3f0e0d,Rp 3.700.000 – Rp 4.000.000 per month,3700000,4000000,3850000,2,2 sampai < 4 juta,1,1,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,finance,sumatera
